Vivado Simulator 2020.1
Time resolution is 1 ps
Time: 5000 ns | LEDs changed to: 0000
Processor started. Waiting in IDLE loop...
Time: 695000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 705000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 715000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 725000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 735000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 745000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 755000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 765000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 775000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 785000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 795000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 805000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 815000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 825000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 835000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 845000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 855000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 865000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 875000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 885000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 895000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 905000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 915000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 925000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 935000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 945000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 955000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 965000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 975000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
Time: 985000 ns | PC: 00000020 | MemtoReg: 00 | Jump: 0 | Jalr: 0
Time: 995000 ns | PC: 0000001c | MemtoReg: 01 | Jump: 0 | Jalr: 0
