Vivado Simulator 2020.1
Time resolution is 1 ps
Processor started. Waiting in IDLE loop...
Time: 715000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 725000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 735000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 745000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 755000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 765000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 775000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 785000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 795000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 805000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 815000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 825000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 835000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 845000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 855000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 865000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 875000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 885000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 895000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 905000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 915000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 925000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 935000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 945000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 955000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 965000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 975000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 985000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
Time: 995000 ns | PC: xxxxxxxx | MemtoReg: xx | Jump: x | Jalr: x
